,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations,Unnamed: 0,Run,SPX_best,SPX_Function_Evaluations,Midx_best,Midx_Function_Evaluations,BLX_0.0_best,BLX_0.0_Function_Evaluations
20,20,20,0.9975422341914558,68,0.9975436069225287,87,0.9975438362775696,118,20,20,0.9975436424167972,608,0.9975440677488124,194,0.9975402676602444,193,20,20,0.9975405784589936,705,0.9975409512073864,1232,0.9975355137423894,4000,20,20,0.9975436912599782,1839,0.9975418654504978,245,0.9975438464975864,1429
21,21,21,0.9975437049862884,206,0.9975438402307842,44,0.9975430970400078,59,21,21,0.9975433251811732,155,0.9975417879525856,190,0.9975430610510044,153,21,21,0.9974367266816664,4000,0.997534523359765,4000,0.9975406342887312,3151,21,21,0.9975426162412172,2560,0.9975440636851484,1883,0.9975432667089776,814
22,22,22,0.9975414462666964,80,0.9975410871187504,55,0.9975421206194579,258,22,22,0.9975415183920668,387,0.9975433020599326,123,0.9975418174074632,109,22,22,0.9975402191717432,1330,0.9975417044878137,1573,0.9975437034473478,904,22,22,0.9975441284657416,1089,0.9975348280752014,4000,0.9975436349751529,582
23,23,23,0.9975409588921416,91,0.9975440145556328,87,0.9975428205943762,69,23,23,0.9975441386006813,110,0.9975440375168606,82,0.9975440741615024,191,23,23,0.9975435328278706,2090,0.9975389317280238,4000,0.9975435701396058,1207,23,23,0.9975422493084573,3684,0.9975371203412404,4000,0.9975434908517404,1109
24,24,24,0.99754069845999,89,0.997541957363528,120,0.997541802512163,151,24,24,0.9975416087563972,87,0.9975416107059168,46,0.9975440126141796,241,24,24,0.9975435462682828,1273,0.9975437092476016,3101,0.9975422735780718,2928,24,24,0.9975426541847492,2160,0.9975439074601268,729,0.9975441416389528,610
25,25,25,0.9975411439833726,156,0.9975434661226952,51,0.9975430173412032,47,25,25,0.9975438914399424,95,0.997543981594923,74,0.9975432065377116,181,25,25,0.997532740584856,4000,0.9975439212226509,805,0.9975435288749304,3035,25,25,0.9975416123162666,1702,0.9975434693106556,466,0.9975426124517812,2183
26,26,26,0.9975425621805474,117,0.9975418201060122,106,0.9975407163501072,50,26,26,0.9975439262166206,151,0.9975404766263392,124,0.9975441062858376,37,26,26,0.9975196597394568,4000,0.9975415583033622,3185,0.9975405101335229,1493,26,26,0.9975439835715324,917,0.9975439677768048,1769,0.9975440872259346,1700
27,27,27,0.9975409168695026,120,0.99754152650672,45,0.9975441338609649,62,27,27,0.9975409979136044,375,0.9975426404933512,69,0.9975432439074624,87,27,27,0.9975405490344016,2338,0.99754370428345,1858,0.9975234741595926,4000,27,27,0.9975441032226816,2964,0.9975441411986664,3122,0.997544031400526,2014
28,28,28,0.99754019211671,135,0.9975423973989856,63,0.9975440551806868,39,28,28,0.997541109525624,164,0.9975432713311354,87,0.9975409596637697,168,28,28,0.9975412665660768,1315,0.9975422913566702,1901,0.9975441303185688,2353,28,28,0.9975401852156808,1826,0.9975441250343312,2823,0.997544140178138,680
29,29,29,0.9975403345219951,77,0.9975421696418164,168,0.9975440460306676,50,29,29,0.9975435626894044,671,0.9975426852609696,76,0.9975441370744996,170,29,29,0.9975258223625376,4000,0.9975296589589766,4000,0.9975441411041218,366,29,29,0.9975432259338908,749,0.9975422464165196,731,0.9975441413678658,1157
